text,label,label_id
JUST IN: Local politician promises to fix potholes by simply renaming them 'freedom craters'.,satire/parody,1
This controversial study proves everything you thought about politics was WRONG. Share this.,misleading content,2
You won't believe what this leaked document says about the election. ,misleading content,2
Officials confirmed the trade agreement will take effect starting January 1. ,true,0
BREAKING: FBI Press Release: Agency announces new division dedicated to monitoring meme accounts.,imposter content,3
Breaking: Congress discovers that laws work better when people actually follow them. ,satire/parody,1
JUST IN: Cropped screenshot of politician's email taken completely out of context to suggest wrongdoing.,manipulated content,5
Outrage erupts over political decision (three people tweeted about it). Read more.,false connection,4
UPDATE: Town hall meeting descends into chaos when politician accidentally tells the truth.,satire/parody,1
UPDATE: The Supreme Court agreed to hear arguments on the immigration policy case next month.,true,0
Nation divided over controversial new policy (poll shows 52-48 split on minor issue). Read more.,false connection,4
Doctored transcript shows the official admitting to corruption during the hearing.,manipulated content,5
JUST IN: Bombshell report rocks Washington (small footnote in a quarterly review).,false connection,4
Fake transcript of closed-door meeting circulated to undermine policy negotiations. Read more.,manipulated content,5
"Voter turnout in the midterm elections reached 50 percent, according to election officials. Share this.",true,0
AP Breaking News: Congress votes to abolish all federal holidays starting next year. Share this.,imposter content,3
Local politician promises to fix potholes by simply renaming them 'freedom craters'. ,satire/parody,1
Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers).,false connection,4
Millions affected by new law (article about obscure regulatory change).,false connection,4
Reuters Exclusive: Secret documents reveal plan to merge three government agencies. Developing story.,imposter content,3
What the mainstream media won't tell you about the new healthcare law.,misleading content,2
JUST IN: Pentagon confirms development of weather control satellite for agricultural purposes.,imposter content,3
President caught in massive scandal (article about routine policy meeting).,false connection,4
UPDATE: FBI Press Release: Agency announces new division dedicated to monitoring meme accounts.,imposter content,3
Town hall meeting descends into chaos when politician accidentally tells the truth. Share this.,satire/parody,1
JUST IN: Exposed: The REAL reason behind the latest policy change will shock you.,misleading content,2
Congressional leaders from both parties agreed on a temporary spending measure. Read more.,true,0
Modified audio clip appears to show congressman accepting bribes from lobbyists.,manipulated content,5
UPDATE: Edited video proves the politician made racist remarks at last night's rally.,manipulated content,5
UPDATE: Spliced together clips from different speeches to fabricate incriminating statement.,manipulated content,5
NASA Administrator statement: Agency to redirect funds from space to political education. Developing story.,imposter content,3
Historic moment as politician makes unprecedented move (routine procedural vote). Read more.,false connection,4
Presidential candidate reveals bold plan to solve all problems by tweeting about them.,satire/parody,1
NASA Administrator statement: Agency to redirect funds from space to political education.,imposter content,3
This controversial study proves everything you thought about politics was WRONG.,misleading content,2
Local politician promises to fix potholes by simply renaming them 'freedom craters'.,satire/parody,1
This one weird trick is what politicians use to stay in power forever.,misleading content,2
Local politician promises to fix potholes by simply renaming them 'freedom craters'.,satire/parody,1
UPDATE: FBI Press Release: Agency announces new division dedicated to monitoring meme accounts.,imposter content,3
BREAKING: whistleblower reveals the shocking truth behind the policy. Share this.,misleading content,2
Democracy under threat: dramatic headline for a routine committee hearing update.,false connection,4
CDC Official Report: New study links political debates to increased stress hormones.,imposter content,3
Manipulated photo shows the mayor at a controversial protest he never attended.,manipulated content,5
Presidential candidate reveals bold plan to solve all problems by tweeting about them. ,satire/parody,1
Cropped screenshot of politician's email taken completely out of context to suggest wrongdoing.,manipulated content,5
UPDATE: Manipulated photo shows the mayor at a controversial protest he never attended.,manipulated content,5
Doctored transcript shows the official admitting to corruption during the hearing.,manipulated content,5
BREAKING: Government in crisis after shocking revelation (story about minor budget adjustment). Developing story.,false connection,4
CDC Official Report: New study links political debates to increased stress hormones. Share this.,imposter content,3
JUST IN: Official White House statement: President declares national emergency over social media usage.,imposter content,3
Officials confirmed the trade agreement will take effect starting January 1.,true,0
BREAKING: Cropped screenshot of politician's email taken completely out of context to suggest wrongdoing.,manipulated content,5
Area congressman reportedly shocked to learn his constituents actually read his tweets. Share this.,satire/parody,1
"JUST IN: Voter turnout in the midterm elections reached 50 percent, according to election officials.",true,0
A bipartisan committee released its findings on government spending waste.,true,0
Man who gets all his news from memes somehow perfectly informed about geopolitics.,satire/parody,1
Pentagon confirms development of weather control satellite for agricultural purposes.,imposter content,3
You won't believe what this leaked document says about the election. ,misleading content,2
Reuters Exclusive: Secret documents reveal plan to merge three government agencies.,imposter content,3
Local politician promises to fix potholes by simply renaming them 'freedom craters'. Share this.,satire/parody,1
Politician's fact-check rating so low it actually wraps around to being impressive. Developing story.,satire/parody,1
NASA Administrator statement: Agency to redirect funds from space to political education.,imposter content,3
NASA Administrator statement: Agency to redirect funds from space to political education. Developing story.,imposter content,3
Economy on the brink of collapse says expert (article quotes one minor analyst). Developing story.,false connection,4
Exposed: The REAL reason behind the latest policy change will shock you.,misleading content,2
Modified audio clip appears to show congressman accepting bribes from lobbyists. Read more.,manipulated content,5
BREAKING: This one weird trick is what politicians use to stay in power forever.,misleading content,2
JUST IN: Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
The Senate passed a new infrastructure bill with bipartisan support on Tuesday.,true,0
Historic moment as politician makes unprecedented move (routine procedural vote).,false connection,4
UPDATE: Officials confirmed the trade agreement will take effect starting January 1.,true,0
Manipulated photo shows the mayor at a controversial protest he never attended.,manipulated content,5
Area congressman reportedly shocked to learn his constituents actually read his tweets.,satire/parody,1
Exposed: The REAL reason behind the latest policy change will shock you. Developing story.,misleading content,2
Scientists CONFIRM what we've been saying all along about the economy.,misleading content,2
Outrage erupts over political decision (three people tweeted about it).,false connection,4
Spliced together clips from different speeches to fabricate incriminating statement. Read more.,manipulated content,5
Reuters Exclusive: Secret documents reveal plan to merge three government agencies.,imposter content,3
Modified audio clip appears to show congressman accepting bribes from lobbyists. Share this.,manipulated content,5
"According to official reports, unemployment rates fell to 3.5 percent this quarter.",true,0
Economy on the brink of collapse says expert (article quotes one minor analyst).,false connection,4
BREAKING: Millions affected by new law (article about obscure regulatory change).,false connection,4
Area congressman reportedly shocked to learn his constituents actually read his tweets. Developing story.,satire/parody,1
NASA Administrator statement: Agency to redirect funds from space to political education.,imposter content,3
WHO declares political misinformation a global health emergency in surprise announcement.,imposter content,3
JUST IN: Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
BREAKING: Government in crisis after shocking revelation (story about minor budget adjustment). ,false connection,4
"Voter turnout in the midterm elections reached 50 percent, according to election officials.",true,0
BREAKING: Outrage erupts over political decision (three people tweeted about it).,false connection,4
UPDATE: Nation divided over controversial new policy (poll shows 52-48 split on minor issue).,false connection,4
EXPOSED: Secret meetings between officials reveal the TRUTH about spending.,misleading content,2
You won't believe what this leaked document says about the election. Read more.,misleading content,2
Area congressman reportedly shocked to learn his constituents actually read his tweets.,satire/parody,1
UPDATE: Altered quote from the governor shows plans to raise taxes by 500 percent.,manipulated content,5
FBI Press Release: Agency announces new division dedicated to monitoring meme accounts.,imposter content,3
Congressional leaders from both parties agreed on a temporary spending measure. Read more.,true,0
BREAKING: Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers).,false connection,4
Breaking: Congress discovers that laws work better when people actually follow them. Developing story.,satire/parody,1
BREAKING: EXPOSED: Secret meetings between officials reveal the TRUTH about spending.,misleading content,2
CDC Official Report: New study links political debates to increased stress hormones.,imposter content,3
The Department of Education released new guidelines for student loan forgiveness.,true,0
Officials confirmed the trade agreement will take effect starting January 1.,true,0
Town hall meeting descends into chaos when politician accidentally tells the truth.,satire/parody,1
JUST IN: Presidential candidate reveals bold plan to solve all problems by tweeting about them.,satire/parody,1
Presidential candidate reveals bold plan to solve all problems by tweeting about them.,satire/parody,1
Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
BREAKING: Government in crisis after shocking revelation (story about minor budget adjustment).,false connection,4
This one weird trick is what politicians use to stay in power forever. Share this.,misleading content,2
JUST IN: The Supreme Court agreed to hear arguments on the immigration policy case next month.,true,0
The senator clearly stated support for abolishing all public schools in this speech. Developing story.,manipulated content,5
President caught in massive scandal (article about routine policy meeting). Read more.,false connection,4
The Department of Education released new guidelines for student loan forgiveness. Developing story.,true,0
EXPOSED: Secret meetings between officials reveal the TRUTH about spending. Developing story.,misleading content,2
JUST IN: Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
Fake transcript of closed-door meeting circulated to undermine policy negotiations. Developing story.,manipulated content,5
JUST IN: Pentagon confirms development of weather control satellite for agricultural purposes.,imposter content,3
BREAKING: Government in crisis after shocking revelation (story about minor budget adjustment).,false connection,4
JUST IN: This one weird trick is what politicians use to stay in power forever.,misleading content,2
BREAKING: This controversial study proves everything you thought about politics was WRONG.,misleading content,2
This one weird trick is what politicians use to stay in power forever. Developing story.,misleading content,2
Selectively edited interview makes it appear the candidate supports extremist views.,manipulated content,5
JUST IN: Cropped screenshot of politician's email taken completely out of context to suggest wrongdoing.,manipulated content,5
Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers).,false connection,4
Outrage erupts over political decision (three people tweeted about it). Share this.,false connection,4
Doctored transcript shows the official admitting to corruption during the hearing. ,manipulated content,5
Reuters Exclusive: Secret documents reveal plan to merge three government agencies.,imposter content,3
What the mainstream media won't tell you about the new healthcare law. ,misleading content,2
Millions affected by new law (article about obscure regulatory change). Share this.,false connection,4
BREAKING: This one weird trick is what politicians use to stay in power forever.,misleading content,2
UPDATE: Millions affected by new law (article about obscure regulatory change).,false connection,4
Officials confirmed the trade agreement will take effect starting January 1.,true,0
JUST IN: Modified audio clip appears to show congressman accepting bribes from lobbyists.,manipulated content,5
What the mainstream media won't tell you about the new healthcare law.,misleading content,2
JUST IN: Historic moment as politician makes unprecedented move (routine procedural vote).,false connection,4
Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers). Developing story.,false connection,4
Senate votes unanimously to extend lunch break by 45 minutes in historic bipartisan move. Read more.,satire/parody,1
JUST IN: Scientists CONFIRM what we've been saying all along about the economy.,misleading content,2
Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers). Developing story.,false connection,4
The president signed an executive order on climate policy during a ceremony at the White House.,true,0
Selectively edited interview makes it appear the candidate supports extremist views. Read more.,manipulated content,5
Breaking: Congress discovers that laws work better when people actually follow them.,satire/parody,1
Selectively edited interview makes it appear the candidate supports extremist views. ,manipulated content,5
JUST IN: Reuters Exclusive: Secret documents reveal plan to merge three government agencies.,imposter content,3
Selectively edited interview makes it appear the candidate supports extremist views. Share this.,manipulated content,5
BREAKING: AP Breaking News: Congress votes to abolish all federal holidays starting next year.,imposter content,3
You won't believe what this leaked document says about the election. Developing story.,misleading content,2
Officials confirmed the trade agreement will take effect starting January 1.,true,0
You won't believe what this leaked document says about the election.,misleading content,2
You won't believe what this leaked document says about the election. Developing story.,misleading content,2
BREAKING: Official White House statement: President declares national emergency over social media usage.,imposter content,3
Official White House statement: President declares national emergency over social media usage. Read more.,imposter content,3
BREAKING: The senator clearly stated support for abolishing all public schools in this speech.,manipulated content,5
The Supreme Court agreed to hear arguments on the immigration policy case next month. Read more.,true,0
Officials confirmed the trade agreement will take effect starting January 1.,true,0
Doctored transcript shows the official admitting to corruption during the hearing.,manipulated content,5
Officials confirmed the trade agreement will take effect starting January 1.,true,0
Altered quote from the governor shows plans to raise taxes by 500 percent.,manipulated content,5
The Supreme Court agreed to hear arguments on the immigration policy case next month. Share this.,true,0
Millions affected by new law (article about obscure regulatory change). Developing story.,false connection,4
You won't believe what this leaked document says about the election. Read more.,misleading content,2
Selectively edited interview makes it appear the candidate supports extremist views.,manipulated content,5
UPDATE: Man who gets all his news from memes somehow perfectly informed about geopolitics.,satire/parody,1
Historic moment as politician makes unprecedented move (routine procedural vote).,false connection,4
UPDATE: EXPOSED: The hidden truth about government surveillance that they don't want you to know!,misleading content,2
Altered quote from the governor shows plans to raise taxes by 500 percent.,manipulated content,5
The president signed an executive order on climate policy during a ceremony at the White House.,true,0
Senate votes unanimously to extend lunch break by 45 minutes in historic bipartisan move. ,satire/parody,1
Man who gets all his news from memes somehow perfectly informed about geopolitics.,satire/parody,1
UPDATE: FEMA announces new preparedness category for surviving election seasons.,imposter content,3
JUST IN: WHO declares political misinformation a global health emergency in surprise announcement.,imposter content,3
Man who gets all his news from memes somehow perfectly informed about geopolitics.,satire/parody,1
"Voter turnout in the midterm elections reached 50 percent, according to election officials. Read more.",true,0
UPDATE: Outrage erupts over political decision (three people tweeted about it).,false connection,4
Study finds 90 percent of campaign promises were made with fingers crossed behind back. Developing story.,satire/parody,1
The senator clearly stated support for abolishing all public schools in this speech.,manipulated content,5
JUST IN: The Senate passed a new infrastructure bill with bipartisan support on Tuesday.,true,0
UPDATE: EXPOSED: The hidden truth about government surveillance that they don't want you to know!,misleading content,2
Official Treasury Department memo leaked revealing plans to redesign all currency. Read more.,imposter content,3
Official Treasury Department memo leaked revealing plans to redesign all currency.,imposter content,3
Cropped screenshot of politician's email taken completely out of context to suggest wrongdoing.,manipulated content,5
BREAKING: EXPOSED: Secret meetings between officials reveal the TRUTH about spending.,misleading content,2
Senate votes unanimously to extend lunch break by 45 minutes in historic bipartisan move.,satire/parody,1
Altered quote from the governor shows plans to raise taxes by 500 percent. ,manipulated content,5
Bombshell report rocks Washington (small footnote in a quarterly review). ,false connection,4
You won't believe what this leaked document says about the election.,misleading content,2
Official Treasury Department memo leaked revealing plans to redesign all currency. Share this.,imposter content,3
The government doesn't want you to know this about your tax dollars.,misleading content,2
Scientists CONFIRM what we've been saying all along about the economy. Share this.,misleading content,2
Manipulated photo shows the mayor at a controversial protest he never attended.,manipulated content,5
UPDATE: Officials confirmed the trade agreement will take effect starting January 1.,true,0
UPDATE: Area congressman reportedly shocked to learn his constituents actually read his tweets.,satire/parody,1
The government doesn't want you to know this about your tax dollars.,misleading content,2
President caught in massive scandal (article about routine policy meeting).,false connection,4
The senator clearly stated support for abolishing all public schools in this speech.,manipulated content,5
FEMA announces new preparedness category for surviving election seasons.,imposter content,3
New bill would require all political ads to include laugh track.,satire/parody,1
Edited video proves the politician made racist remarks at last night's rally. Read more.,manipulated content,5
EXPOSED: Secret meetings between officials reveal the TRUTH about spending.,misleading content,2
Official Treasury Department memo leaked revealing plans to redesign all currency.,imposter content,3
This one weird trick is what politicians use to stay in power forever.,misleading content,2
Doctored transcript shows the official admitting to corruption during the hearing. Share this.,manipulated content,5
Doctored transcript shows the official admitting to corruption during the hearing.,manipulated content,5
Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
The government doesn't want you to know this about your tax dollars.,misleading content,2
FBI Press Release: Agency announces new division dedicated to monitoring meme accounts.,imposter content,3
JUST IN: The Federal Reserve announced a 0.25 percent interest rate increase today.,true,0
UPDATE: Pentagon confirms development of weather control satellite for agricultural purposes.,imposter content,3
The Supreme Court agreed to hear arguments on the immigration policy case next month. Read more.,true,0
What the mainstream media won't tell you about the new healthcare law. ,misleading content,2
BREAKING: Outrage erupts over political decision (three people tweeted about it).,false connection,4
Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers). Share this.,false connection,4
Town hall meeting descends into chaos when politician accidentally tells the truth. Share this.,satire/parody,1
Officials confirmed the trade agreement will take effect starting January 1.,true,0
The Department of Education released new guidelines for student loan forgiveness. Share this.,true,0
You won't believe what this leaked document says about the election.,misleading content,2
Officials confirmed the trade agreement will take effect starting January 1.,true,0
This controversial study proves everything you thought about politics was WRONG. Developing story.,misleading content,2
UPDATE: Selectively edited interview makes it appear the candidate supports extremist views.,manipulated content,5
Town hall meeting descends into chaos when politician accidentally tells the truth.,satire/parody,1
Cropped screenshot of politician's email taken completely out of context to suggest wrongdoing. Read more.,manipulated content,5
BREAKING: whistleblower reveals the shocking truth behind the policy. ,misleading content,2
This controversial study proves everything you thought about politics was WRONG. Developing story.,misleading content,2
Senate votes unanimously to extend lunch break by 45 minutes in historic bipartisan move. Share this.,satire/parody,1
Selectively edited interview makes it appear the candidate supports extremist views.,manipulated content,5
"Voter turnout in the midterm elections reached 50 percent, according to election officials. Developing story.",true,0
Selectively edited interview makes it appear the candidate supports extremist views. ,manipulated content,5
JUST IN: Modified audio clip appears to show congressman accepting bribes from lobbyists.,manipulated content,5
Local politician promises to fix potholes by simply renaming them 'freedom craters'.,satire/parody,1
Official White House statement: President declares national emergency over social media usage.,imposter content,3
EXPOSED: The hidden truth about government surveillance that they don't want you to know! ,misleading content,2
The Department of Education released new guidelines for student loan forgiveness.,true,0
A bipartisan committee released its findings on government spending waste. Read more.,true,0
NASA Administrator statement: Agency to redirect funds from space to political education. ,imposter content,3
A bipartisan committee released its findings on government spending waste. Share this.,true,0
Officials confirmed the trade agreement will take effect starting January 1. Read more.,true,0
WHO declares political misinformation a global health emergency in surprise announcement.,imposter content,3
BREAKING: Cropped screenshot of politician's email taken completely out of context to suggest wrongdoing.,manipulated content,5
Town hall meeting descends into chaos when politician accidentally tells the truth.,satire/parody,1
Edited video proves the politician made racist remarks at last night's rally. ,manipulated content,5
WHO declares political misinformation a global health emergency in surprise announcement.,imposter content,3
Cropped screenshot of politician's email taken completely out of context to suggest wrongdoing.,manipulated content,5
The president signed an executive order on climate policy during a ceremony at the White House. Share this.,true,0
Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers). Read more.,false connection,4
WHO declares political misinformation a global health emergency in surprise announcement. Share this.,imposter content,3
JUST IN: Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
Bombshell report rocks Washington (small footnote in a quarterly review).,false connection,4
The president signed an executive order on climate policy during a ceremony at the White House. Developing story.,true,0
BREAKING: Manipulated photo shows the mayor at a controversial protest he never attended.,manipulated content,5
BREAKING: Historic moment as politician makes unprecedented move (routine procedural vote).,false connection,4
Historic moment as politician makes unprecedented move (routine procedural vote).,false connection,4
Breaking: Congress discovers that laws work better when people actually follow them.,satire/parody,1
Reuters Exclusive: Secret documents reveal plan to merge three government agencies.,imposter content,3
Fake transcript of closed-door meeting circulated to undermine policy negotiations. Read more.,manipulated content,5
UPDATE: The government doesn't want you to know this about your tax dollars.,misleading content,2
JUST IN: Congressional leaders from both parties agreed on a temporary spending measure.,true,0
NASA Administrator statement: Agency to redirect funds from space to political education.,imposter content,3
You won't believe what this leaked document says about the election. Developing story.,misleading content,2
UPDATE: Bombshell report rocks Washington (small footnote in a quarterly review).,false connection,4
This one weird trick is what politicians use to stay in power forever. Share this.,misleading content,2
FBI Press Release: Agency announces new division dedicated to monitoring meme accounts.,imposter content,3
FEMA announces new preparedness category for surviving election seasons. Share this.,imposter content,3
Millions affected by new law (article about obscure regulatory change).,false connection,4
BREAKING: Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers).,false connection,4
NASA Administrator statement: Agency to redirect funds from space to political education.,imposter content,3
Economy on the brink of collapse says expert (article quotes one minor analyst). Read more.,false connection,4
The Supreme Court agreed to hear arguments on the immigration policy case next month.,true,0
WHO declares political misinformation a global health emergency in surprise announcement.,imposter content,3
Officials confirmed the trade agreement will take effect starting January 1. Developing story.,true,0
Officials confirmed the trade agreement will take effect starting January 1. Read more.,true,0
The Supreme Court agreed to hear arguments on the immigration policy case next month.,true,0
Man who gets all his news from memes somehow perfectly informed about geopolitics.,satire/parody,1
Selectively edited interview makes it appear the candidate supports extremist views. ,manipulated content,5
This one weird trick is what politicians use to stay in power forever.,misleading content,2
You won't believe what this leaked document says about the election. Developing story.,misleading content,2
Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
Manipulated photo shows the mayor at a controversial protest he never attended.,manipulated content,5
What the mainstream media won't tell you about the new healthcare law. Share this.,misleading content,2
BREAKING: Modified audio clip appears to show congressman accepting bribes from lobbyists.,manipulated content,5
BREAKING: You won't believe what this leaked document says about the election.,misleading content,2
Scientists CONFIRM what we've been saying all along about the economy.,misleading content,2
Reuters Exclusive: Secret documents reveal plan to merge three government agencies.,imposter content,3
Senate votes unanimously to extend lunch break by 45 minutes in historic bipartisan move.,satire/parody,1
UPDATE: The Senate passed a new infrastructure bill with bipartisan support on Tuesday.,true,0
Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
Manipulated photo shows the mayor at a controversial protest he never attended.,manipulated content,5
BREAKING: Reuters Exclusive: Secret documents reveal plan to merge three government agencies.,imposter content,3
New bill would require all political ads to include laugh track.,satire/parody,1
Manipulated photo shows the mayor at a controversial protest he never attended. ,manipulated content,5
This one weird trick is what politicians use to stay in power forever.,misleading content,2
UPDATE: FEMA announces new preparedness category for surviving election seasons.,imposter content,3
Doctored transcript shows the official admitting to corruption during the hearing. Share this.,manipulated content,5
The senator clearly stated support for abolishing all public schools in this speech.,manipulated content,5
Manipulated photo shows the mayor at a controversial protest he never attended. Share this.,manipulated content,5
The senator clearly stated support for abolishing all public schools in this speech.,manipulated content,5
UPDATE: This one weird trick is what politicians use to stay in power forever.,misleading content,2
The president signed an executive order on climate policy during a ceremony at the White House. Developing story.,true,0
Presidential candidate reveals bold plan to solve all problems by tweeting about them. ,satire/parody,1
Altered quote from the governor shows plans to raise taxes by 500 percent. Read more.,manipulated content,5
President caught in massive scandal (article about routine policy meeting).,false connection,4
The Senate passed a new infrastructure bill with bipartisan support on Tuesday.,true,0
New bill would require all political ads to include laugh track.,satire/parody,1
Selectively edited interview makes it appear the candidate supports extremist views.,manipulated content,5
UPDATE: Man who gets all his news from memes somehow perfectly informed about geopolitics.,satire/parody,1
CDC Official Report: New study links political debates to increased stress hormones. Read more.,imposter content,3
Study finds 90 percent of campaign promises were made with fingers crossed behind back.,satire/parody,1
Breaking: Congress discovers that laws work better when people actually follow them.,satire/parody,1
Officials confirmed the trade agreement will take effect starting January 1.,true,0
BREAKING: Historic moment as politician makes unprecedented move (routine procedural vote).,false connection,4
JUST IN: Congressional leaders from both parties agreed on a temporary spending measure.,true,0
The senator clearly stated support for abolishing all public schools in this speech. Share this.,manipulated content,5
New bill would require all political ads to include laugh track.,satire/parody,1
Manipulated photo shows the mayor at a controversial protest he never attended.,manipulated content,5
Congressional leaders from both parties agreed on a temporary spending measure.,true,0
The senator clearly stated support for abolishing all public schools in this speech.,manipulated content,5
The Senate passed a new infrastructure bill with bipartisan support on Tuesday.,true,0
BREAKING: Millions affected by new law (article about obscure regulatory change).,false connection,4
JUST IN: Millions affected by new law (article about obscure regulatory change).,false connection,4
The Senate passed a new infrastructure bill with bipartisan support on Tuesday.,true,0
This controversial study proves everything you thought about politics was WRONG. ,misleading content,2
Local politician promises to fix potholes by simply renaming them 'freedom craters'. Share this.,satire/parody,1
The government doesn't want you to know this about your tax dollars. Share this.,misleading content,2
Politician's fact-check rating so low it actually wraps around to being impressive.,satire/parody,1
Spliced together clips from different speeches to fabricate incriminating statement. ,manipulated content,5
Millions affected by new law (article about obscure regulatory change). Share this.,false connection,4
Politician's fact-check rating so low it actually wraps around to being impressive. ,satire/parody,1
Man who gets all his news from memes somehow perfectly informed about geopolitics. ,satire/parody,1
JUST IN: Economy on the brink of collapse says expert (article quotes one minor analyst).,false connection,4
BREAKING: Modified audio clip appears to show congressman accepting bribes from lobbyists.,manipulated content,5
Bombshell report rocks Washington (small footnote in a quarterly review).,false connection,4
You won't believe what this leaked document says about the election. ,misleading content,2
Cropped screenshot of politician's email taken completely out of context to suggest wrongdoing. ,manipulated content,5
You won't believe what this leaked document says about the election.,misleading content,2
Town hall meeting descends into chaos when politician accidentally tells the truth.,satire/parody,1
Town hall meeting descends into chaos when politician accidentally tells the truth.,satire/parody,1
Fake transcript of closed-door meeting circulated to undermine policy negotiations. Read more.,manipulated content,5
Fake transcript of closed-door meeting circulated to undermine policy negotiations.,manipulated content,5
Millions affected by new law (article about obscure regulatory change). ,false connection,4
Exposed: The REAL reason behind the latest policy change will shock you.,misleading content,2
President caught in massive scandal (article about routine policy meeting). Developing story.,false connection,4
Breaking: Congress discovers that laws work better when people actually follow them.,satire/parody,1
Historic moment as politician makes unprecedented move (routine procedural vote).,false connection,4
Man who gets all his news from memes somehow perfectly informed about geopolitics. Developing story.,satire/parody,1
Crisis at the border reaches new heights (seasonal fluctuation in crossing numbers).,false connection,4
"Voter turnout in the midterm elections reached 50 percent, according to election officials. Read more.",true,0
CDC Official Report: New study links political debates to increased stress hormones.,imposter content,3
EXPOSED: The hidden truth about government surveillance that they don't want you to know! Share this.,misleading content,2
